Comments,Label
یہ عمر گانڈوں کی گانڈ مار کر گیا,offensive
انسان بن بغیرت نہ بن,offensive
تو خد بغیرت ھے,offensive
اقرار الحسن زندہ آباد پھونکوں والی سرکار اگر تھوڑی بھی شرم ہے تو ڈوب کے مرجا بغیرت,offensive
یہ بھی سوچنے کی بات ہے کہ کتنے بغیرت اور ان پڑھ ہیں اور ج*** ہیں اسی لئے تو نواز شریف بے نظیر بھٹو سے لے کے بھٹو خاندان سے نواز شریف تک سبھی لوگوں نے اسی لئے تو ان کی ماں بہن کی ہے اس لئے تو ان کے بڑے بڑے پیٹ بڑے ہوتے ہیں بغیرت کے بچے انتہائی ج*** اور اور اسپیشلی اس علاقے کے لوگ تو انتہائی بغیرت اور ج*** ہیں میں ان کو اچھے طریقے سے جانتا ہوں ج***,offensive
جاھل کمینے کھڑے ہیں سبکے سب یہ پیر جو بنا ہوا ھے سب سے بڑا کمیںنا ھے,offensive
اللّٰہ تعالیٰ اسے کمینے حق حتیب پر زلت عذاب نازل فرمائے آمین یا ربّ العالمین,offensive
اگر پیر صاحب اپنی گانڈ میں سے کبوتر نکال کر دکھائیں پھر میں انکو مانوں گا۔,offensive
"بغیرت
مُسلم قضاب نہیں
مسیلمہ قضاب ہے نام
اس فراڑ کو اتنا بھی نہیں پتا جعلی خطیب",offensive
بریلوی خطم ہو تو یہ سب کمینے خطم,hate
بغیرت آدمی,offensive
میں لیٹرین میں بیٹھا ھوں ٹٹی کر چکا ھوں اور پانی نہیں آ رھا پانی ختم ھو گیا ھے پلیز پھونک مار کر میری گانڈ دھو دو پلیز,offensive
تم پر اللہ کا عذاب نازل ہو بہنچود کے بچے کمینے,offensive
"سید ذولفقار دنیا کا وہ واحد بغیرت بندہ ہے جو اپنے باپ پر غیروں کو فضیلت دیتا ہے،",offensive
سب سے بڑا بغیرت یہ بندہ ہے جو شو کر کے سب کچھ کروا رہا ہے,offensive
جتنا زور یہ یاسین رافضی لگا رہا ہے دیکھنا کہیں اس کی گانڈ ہی نہ پھٹ جائے,offensive
یہ ملوانا یاسین رافضی گانڈ تک زور کیوں لگا رہا ہے,offensive
شاہ صاحب زندہ باد شاہ جی اس بغیرت کے پاس علم ہوتا تو سند پڑھ دیتا اور آپ کے سوالوں کا جواب دیتا,offensive
وہ قران کی ایتیں پڑھ رہا ہے اور تو اس کی ایتوں کو جھٹلا رہا ہے اور یہ مولوی بغیرت ادمی بھی جھٹلا رہا ہے کہ تم لوگ تو وہی ہو جب پاک بی بی حق لینے گئی تھی تب بھی بی بی نے بھی قران کی ایتیں سنائی تھی اور تیرے ہی خلیفہوں نے اس ایتوں کو رد کیا تھا تینوں کے اوپر,offensive
کرو اپنے بابوں کی بغیرتیوں کو جیسٹی فائ بغیرتو,offensive
ھاوابی بغیرت ھیں,offensive
ان مولیوں کی گانڈ میں ڈنڈا دینا چاہییے عوام کا چوتیا بناتے ہیں مزہب کو بدنام کر کے رکھ دیا ہے,offensive
یہ ٹوٹل بغیرتی کررہے ہیں دگڑ دلے,offensive
مرزا جیل میں بغیرت ہے اس کی عقل ماری گئی ہے یہ صحابہ سے اگے بڑھ رہا ہے صحابہ تماش سبحان اللہ یہ تو ثوابوں کی جوتی کے مقابلے میں بھی,offensive
بغیرت قسم کے انسان مجھے بتا نواز شریف اور ارمی چیف جو ہے جو جرنیل ہے اے پاکستان کے قانون کے مطابق چلتے ہیں کون بغیرت قسم کے انسان سب کیوں معافی مانگے جبکہ جنہوں نے ملک کا بیڑا غرق کیا ہے تیرا نواز شریف زرداری اور ارمی چیف یہ سب بغیرت یہ ان کو معافی مانگنی چاہیے کہ ماں دوسرا بندہ مانگے,hate
ب**** بند کر مولانا صاحب بغیرت قسم کے انسان ایکتین قاضی فائز عیسی کے فیصلے کا موقف ابھی تک نہیں ایا تو بغیر قسم کا احسان کہتا میں داڑھی کے ہاتھ پیر کر کہتا ہوں اپ قانون واپس نہیں کر سکتے فیصلہ,offensive
شیخ محمد عبداللہ نے اچھا کیا کہ پاکستان اور پاکستانیوں کو گانڈ پر لات مار دے۔,hate
ان درندوں کو پھانسی دے دی جائے بغیرت لوگوں کو,offensive
اتنے بغیرت لوگ بھی ہوتے ہیں ہزاروں میں سے کوئی ایک ہوتے ضرورھیں,offensive
یااللہ تواپناعذاب بھیج دےایسےبغیرت پولیس والوپراورظالم ججوپرہیمارےظالم حکمرانوپر,hate
کدھی کا بچہ ہے جس نے یہ Add میں بنایا ہے Thumnaill میں گشتی بقواس بند کر ۔۔۔ تھو کمینے جھوٹ بول کر ایک اپنی Videos بنائے,offensive
بغیرت عورت شرم نہیں آتی ان کو,offensive
بغیرت ابھی بھی کمرے میں ہی بیٹھے گا اور خود کو شیر کہہ رہا ہے چوہا,offensive
کمینے کُتّے دینا صرف اللہ پاک کی شان عظیم ہے نا کے گوض کی شرم کرو,offensive
انجینیر صاحب ڈرتے کیوں ھو اتنا زیادہ شرک جب ثابت ھو چکا جب الیاس قادری اپنی عبادت کروا رھے ھیں تو ان کی تکفیر کرنے میں کیا چیز رکاوٹ ھے کمینے انسان امت کے اتحاد کو توڑنے والے کفار کے ایجنٹ,hate
چشتی صاحب تن کے رکھو ہم تمہارے ساتھ ہیں بغیرت چیخ رہے ہیں چیخنے دیں اپ حسن اقبال چشتی صاحب گھبرانا نہیں کتوں کا کام ہوتا ہے بھونکنا,hate
چشتی صاحب توسی وڈئے بغیرت ہو۔,offensive
بغیرت اب رو رہے ہیں اپ کا یہ کلام سن کر آنسو بہا رہے ہیں ائے ہمیں کوئی غیرت دینے والا اگیا,offensive
تم خود بڑے بغیرت ہوں کمینے انسان بغیرت کہی کے اللہ تمہیں برباد کرے پھودی کے منہ والے,hate
شرم نام کی بھی کوئی چیز ہوتی ہے تم  لوگ سب سے بڑے بیغیرت ہو کمینے انسان,offensive
"پہلے اسلامیہ یونیورسٹی میں واقعہ ظاہر ہوا ہےصفرصفر پانچپانچ سو لڑکی کا سب
 یونیورسٹی کا جب ظاہر ہوا تو پھر بھی یہ قوم نہیں سدھرے گی
بغیرت کا دماغ الٹا ہو جاتا ہے اسی وجہ سے اس کو سمجھ نہیں اتی",offensive
چل بغیرت,offensive
بغیرتا شرم کر اپنے گھر کے حالات باہر مت بتا,offensive
لگتا ہے تیری ماں سکول نہیں گئی جو اس نے تیرے جیسے  کمینے کی پرورش کی,offensive
پلیز اس بغیرت کی ویڈیو کو رپورٹ کریں,offensive
جیو مدرسسے دیا  گانڈوا,hate
استاد محترم اکثر کہا کرتے تھے بغیرت وہ غصہ ہی اس وقت اتا ہے جب کوئی غیرت کی بات کرتا ہے جیو حسن اقبال چشتی انجے تن کے رکھ,hate
اپنا منڈا مدرسے وچوں اٹھا لے اوتھے گانڈ وجدی پئی اے,hate
یہ ب کا کس قسم کا جاہل ہے اس سے پہلے اس سوچ کو ختم کرنا چاہیے ویسے بھی اس ملک میں اس طرح کے جاہل اب رام پائے جاتے ہیں انکو مولویوں کی گانڈ مروائی نظر نہیں آتی بس ڈانس نظر آتا ہے,hate
بغیرتوں کے لیے یہ کلام موت ہے اللہ تعالی اپ کو لمبی زندگی عطا فرمائے,hate
"اج منڈا مدرسیوں ہٹا لے
اوتھے گانڈ مریندی پئی اے
ایس مولوی نو لمیا پا لے
ایدی گانڈ ابلدی پئی اے",hate
مولوی صاحب مدارس میں کم عمر بچوں کی گانڈ ماری جاتی ہے آس پر بھی ذرا ہو جائے,offensive
"سارے اس دلّے چشتی نوں
رپورٹ کرو",hate
مسجداں وچ بچیاں دی گانڈ مارنا کم ہوندا تیرے جئے دلیاں دا یہ بولو بچپن کے لٹے ہوئے مولوی موڑی,offensive
"شرم کرو ۔۔۔۔کمینے لوگ
۔
کمینے لوگوں کے ہاتھوں میں مذہب آ گیا ہے۔۔۔۔۔",offensive
جو تینوں دلا نہ کہندا او وی دلا ہے,hate
جا کمینے آ,offensive
تو ایں پیور دلا۔ دلیا اپنی تربیت  دسی اے۔ لعںتی خاندان دا چشم و چراغ اے توں۔  اسی تینوں دلا ای مندے آں  ۔,offensive
جیڑا تینوں دلا نہ سمجھے او وی دلا اے,hate
جی او دلے,offensive
جیہڑا یزید نو دلا نہ سمجھے او وی دلہ اے,hate
او بغیرتوں حسن اقبال چشتی صاحب کو بھونکنے والو حسن اقبال صاحب کا کلام مکمل سنو,offensive
سب سے بڑا دلہ یہ مولوی ہے,offensive
تم بھی اور تمہارا باپ بھی ڈلہ ہے,offensive
میرا سوہنا چیشتی یدی دا,offensive
تینوں دلا ہی کہنا اے,offensive
او کسی دلے دے بچیا,offensive
ہیرا منڈی کی اولاد,offensive
تیری ماں نا پھدا اے,hate
اسکی اپنی گانڈ وی وجی ہوسی,offensive
اُو گشتی ماں دے آ بچیا دلّے بغیرت کمینے تے تُسی خود اُو,offensive
اسیں تینوں دلا سمجھدے آں پینڑ ۔۔۔,hate
تو وی دلہ اہے,offensive
"چشتی پاک کی گانڈ میں ہاتھ ڈال کر انکی بیعیت کرنا چاہتا ہوں۔ 
مُرشد چشتی جی دی ماں نوں لَن",hate
کتنے کمینے مرے ہوں گے جب یہ پیدا ہوا ہو گا۔,hate
جس معاشرے کے اندر باپ کے سامنے بیٹا ناچ رہا ہو ماں کے سامنے بیٹی ناچ رہی ہو ٹک ٹاک پہ لڑکیاں اور لڑکے دونوں ناچ رہے ہوں باپ پیچھے چل رہا ہو اور ماں بہن بیٹی اگے چل رہی ہو اور اس کے سر پر دوپٹہ بھی نہ ہو تو اس طرح کے معاشرے کے اندر اس طرح کی ویڈیو لوگ کہاں پسند کریں گے۔پاکستان زندہ باد بغیرت معاشرہ پائندہ باد,offensive
"میری چوت میری مرضی 

میرے ممے میری مرضی 

میری گانڈ میری مرضی",offensive
"جب خادم رضوی کو آئی ایس آئی والے اٹھا کے لگئے تھے تو یہ بندہ ہر ایک جوتے پہ نعرہ لگاتا تھا ' میری گانڈ ، پاک فوج دی مرضی '",hate
"سورة الأنعام-ایکپانچنو_xصفرصفرصفرD_
جن لوگوں نے اپنے دین میں (بہت سے) رستے نکالے اور کئی کئی فرقے ہو گئے ان سے تم کو کچھ کام نہیں ان کا کام الله  کے حوالے پھر جو کچھ وہ کرتے رہے ہیں وہ ان کو (سب) بتائے گا-",normal
اگر اتنے ہی بڑے علما ہو تو اس مکار عورت کو کیوں بیٹھا رکھا ہے کیا ڈرامے بازی ہے کہ ہمارے لیے اس عورت کے چہرے پر سینسر لگا رکھا ہے اور اپنے سامنے آنکھوں میں آنکھیں ڈال کر باتیں کر رہے ہیں ۔ کیا ہے یہ عوام کو کیا پھدو سمجھ رکھا ہے,offensive
یہ لڈن بکواس کر رہا ھے,offensive
ٹی وی پر اکثریت میراثی فحش فلموں ڈراموں ہیراہ منڈی میں مطع کرنے والے زاکروں کی اولاد اس صدی میں گندے اور بدتر  اعمال والے اٹ کڑے ہو جاتے ہیں اور محمد رسول اللہ صلی اللہ علیہ وسلم کی قریبی رفقا  پر تبرہ کرتے ہو ارے ان میراثیوں کی اوقات کیا ہے جو کتوں کی طرح بھونکتے ہے..,hate
"دوست کا خواب۔۔۔میں کسی دوست کے ساتھ جا رہا ہوں اور اسے پوچھتا ہوں اللہ کی محبت کیسے ملتی ہے اس نے پوچھا کیسے میں نے کہا نماز پڑھنے،نفل پڑھنے اور سورت اخلاص پڑھنے سے۔۔یہ بات دو بات دہرائی۔۔۔اس خواب میں تین چیزوں کا اشارہ ہے نماز،نفل اور سورت اخلاص ۔۔",normal
"علی بھائی میں بھی آپ  والے دور سے ہی وابستہ رہا ہوں اور مجھے بھی عرصہ ہو گیا چھوڑے ہوئے،اور آپ کو کبھی کبھی شوق سے سن بھی لیتا تھا ،مگر آپ کی آج کی مبالغہ آرائی کی سمجھ نہیں آئی اور مجھے یہ بھی پتا ہے کہ آپ کے پاس ²⁰صفرایک کے بعد سے کوئی ایسا سورس نہیں ہے جو اس زمانے کے بعد کی باتیں آپ اتنے یقین سے کہہ سکیں،اللہ پاک ہم سب کو ہدیت نصیب فرمائے",normal
"اس شخص سے بڑا پاگل انسان کوئ نہیں ہے
جو خود کو بہت سمجھدار سمجھے",offensive
سورت الشورہ میں تو کل آیات ہیں پانچتین ہیں ۔آپ نے آیت نمبر دوایکتینصفر غلط لکھا ہے۔۔ تصیح کر لیں,normal
بکواس,normal
"پلمبر بکواس بند کرو تم جیسے لوگوں کو جواب بھی ایسے ھی بندے دیتے ہیں
ثمر عباس زندہ باد زندہ باد زندہ باد زندہ باد",offensive
اوپر سے لال ہے پیچھے سے بھی لآل ہوگی گندے بھوکے پیاسے لال پٹکے,offensive
"بات اتنی بڑھی صرف اس وجہ سے کہ دونوں اطراف سے شائستگی سے گریز ہوا ۔ مرزا صاحب نے بزرگان دین کا سرعام مذاق اڑایا ، اور اب اسی انداز میں فریق مخالف سے جواب مل رہا ہے۔  رائے کا اختلاف صدیوں سے ہے ، چاروں امام فقہ کا آپس میں اختلاف رہا لیکن دوسرے کی تعظیم میں فرق نہیں آنے دیا ۔ سورہ الحجرات ہمیں راہ ہدایت کی طرف راہنمائی کرتی ہے ۔",normal
چل او کنجر ۔اپنے آپ کو نبی علیہ السلام سے کمپٸیر نہ کر ۔,offensive
بے غیرت آدمی کو کچھ بھی نہیں ہوتا ٹس سے مس نہیں ہوتی,offensive
"مرزا کنجر پلمبر جیسے کنجر ہے ہی کوئی 
نچن والے کنجر تےڈانسر  شے ہی کوئی نہیں",offensive
یہ مولوی صاحب ہے ہی اتنے جوگا ۔سب بکواس غیر اخلاقی اور بدعنوانی و بد تمیز ی اور جہالت کے علاوہ اور کچھ نہیں کہا اس نے کوئی ایک بات بھی علمی نہیں کی جبکہ علی بھائی ہر بات عقلی اور تاریخی دلائل کی روشنی  میں بڑے حوصلے  سے بیان کرتے ہیں۔اللہ پاک علی بھائی کی حفاظت فرمائے آمین,offensive
ممبر رسول پر آ کے کس طرح کی بکواسات کر رھا ھے اللہ تعالیٰ اس خطیب کو عبرت بنا دو,hate
مولوی صاحب بہت ہی گندے الفاظ بول راہے ہے یے اچھی بات نہیں ہم ان سے کیا سیکھ راہیں اللہ ان کو ہدایت دے استغفراللہ,offensive
"ثمر کی زبان گندی اور بد اخلاق انسان ، جھوٹ بھی بولتا ہے اور ممبر رسول پر بیٹھ کر بکواس بھی کرتا ہے",offensive
محض بکواس,offensive
کسی بے غیرت نے آپ کو مفتی کا خطاب دیا مفتی صاحب  پورے۔بیان میں آپ نے کوئی بھی بات دلیل سے نہیں  صرف آپ نے بکواس کی ھے,offensive
مولوی اختلاف اپنی جگہ مگرجواب آدب سے دینا چاہئےبکواس نہیں کرنا چاہئے,normal
اس مولوی بکواسیات سے صاف پتہ چل گیا کہ اس مولوی کی تربیت کہاں ہوئی۔لگتاھے جس مدرسے میں تعلیم حاصل کی وہاں اس ک ۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔بس from Italy,hate
میں بھی خنفی اور بریلوی ہوں لیکن ماشاءاللہ کیا پھول جھڑ رہیں ہیں مولانا کے منہ سے۔ سننے والے ہمت نہیں رکھتے اتنا ہی پوچھ لیں کہ آپ یہ کیا بکواس کر رہے ہیں۔,offensive
"رسول اللہ صلی اللہ علیہ وسلم کے سامنے دو آدمیوں کا ذکر کیا گیا، ان میں سے ایک عابد تھا اور دوسرا عالم، تو رسول اللہ صلی اللہ علیہ وسلم نے فرمایا: ""عالم کی فضیلت عابد پر ایسی ہے جیسے میری فضیلت تم میں سے ایک عام آدمی پر ہے، رسول اللہ صلی اللہ علیہ وسلم نے فرمایا: اللہ اور اس کے فرشتے اور آسمان اور زمین والے یہاں تک کہ چیونٹیاں اپنی سوراخ میں اور مچھلیاں اس شخص کے لیے جو نیکی و بھلائی کی تعلیم دیتا ہے خیر و برکت کی دعائیں کرتی ہیں۔",normal
بکواس کر رہا ہے منبر رسول پر چڑھ کر چول جیا,offensive
لبیک یارسول اللہ جب تک سورج چاند رہے گا رضوی تیرا نام رہے گا سعد حسین رضوی صاحب حفظہ اللہ تعالیٰ,normal
علی بھائی کے بغض میں یہ دو نمبر مولوی مکمل پاگل ہو چکے ہیں,offensive
مولانا صاحب اَلسَلامُ عَلَيْكُم وَرَحْمَةُ اَللهِ وَبَرَكاتُهُ‎ علم سے جواب دیں جہالت سے نہیں جتنی تم نے بکواس کیھے اسے علم نہیں کہتے,offensive
اسی لیے مدرسے لونڈے بازی کے اڈے بنے ہوئے ہیں,offensive
بے شرم,offensive
تیری دینی محفل دیکھی جسمیں بکواس تیری پہ ہنستے تو دیکھا لیکن سبحان اللّٰہ کسی کو کہتے نہیں سنا,offensive
اصل میں انجنئیر علی محمد نے ان دین کے ٹھیکیداروں کو ننگا کر دیا ہے اور انکا بزنس ختم کر دیا ہے اس لیے یہ سب بکواس کرتے رہتے ہیں,offensive
استغفراللہ یہ امت کے ناسور ہیں اتنی گندی زبان استغفراللہ,offensive
"یہ مولوی کم اور کنجر  خانے کی پیداور زیادہ نظر ارھا ھے۔

خدا اس مولوی انجینیر کو اپنی حفظ و ایمان میں رکھے اور اس عظیم عالم  کے درجات دونوں جھانوں میں  بلند فرمائے۔",offensive
"وہ ایک کہاوت ہے "" ملا چور بانگے گواہ  "" آپ کی آور آپ کے سامنے بیٹھنے والوں کی مثال بھی یہی ہے۔  اور رہی علامہ اقبال کی بات تو وہ علماء حق سے رابطے میں تھے ۔ اور جنسے وہ رابطے میں تھے ان کو آپ اپنی ویڈیوز میں غلط کہچکے ہیں تو آپ ڈاکٹر اقبال کی طرح کیسے ہو گئے ۔ یہ تو"" اپنے منہ میاں مٹھو"" بننے والی بات ہو گئ ۔بس کرو اور کتنے جھوٹ بولو گے۔ اور یہ آپ کی عادت ثانیہ ہے ۔",offensive
او پاگل انسان رسول اللہ کی اس احادیث کا یہ مطلب نہیں کہ ماں باپ کوئی چیز نہیں اس احادیث کا مطلب ہے کہ ماں باپ کی زیادہ محبت سے اللہ اور رسول سے محبت زیادہ کرو,offensive
یہ مفتی کیسا عالم ھے بد تمیز انسان,offensive
بکواس   سے پتہ  چل جا تا ہے,offensive
یہ ھے مفتی ثمر کی اصلیت ممبر رسول اللّٰہ صلی اللّٰہ علیہ وآلہ وسلّم پر بیٹھ کر بکواس کر رھا ھے,offensive
اوثمر ئ۔مراسی بغر  ت۔بکواس بند دا۔پتر۔بن۔  حرم,offensive
اتنے ہی دلیر ہیں آپ تو مفتی مشاہد حسین شاہ کاظمی صاحب سے مناظرہ آمنے سامنے بیٹھ کہ کرو اگر ہمت ہے تو بزدل آدمی,offensive
جس دن میرے سامنے آیا تو جوتے ماروں گا,offensive
انجینئر سور دیا پترا,offensive
"ان دونوں سے دور رہو پتہ نہیں کیا ہو گیا ہے انہیں، پاگل ہیں شاید",offensive
یار یہ کون سا بے شرم سا آدمی ہے جو اتنی گندی زبان کے باوجود خود کو مفتی کہتا ہے,offensive
